YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1997,1,7,-6.94,-6.96,-6.95,-5.27,3.87,-4.38,-8.24
1997,1,8,-7.33,-8.06,-7.7,-4.96,3.08,-5.59,-8.66
1997,1,9,-6.32,-7.47,-6.9,-4.36,2.86,-4.99,-7.85
1997,1,10,-4.45,-6.32,-5.38,-3.36,2.98,-2.7,-5.68
1997,1,11,-4.31,-6.33,-5.32,-3.08,2.08,-3.02,-5.1
1997,1,12,-0.48,-1.4,-0.94,-0.13,6.5,2.1,-4.4
1997,1,13,1.84,0.6,1.23,1.3,3.17,3.28,0.12
1997,1,14,0.26,-2.14,-0.95,-0.2,4.72,3.35,-1.37
1997,1,15,-2.05,-2.95,-2.5,-2.05,6.3,1.69,-4.62
1997,1,16,-1.7,-2.24,-1.97,-1.69,7.26,2.56,-4.7
1997,1,17,0.26,-0.49,-0.12,0.18,6.31,3.38,-2.92
